ID;C1;C2;R1;R2;R3;R4;R5;R6;R7;M1;M2
98;8995;2652;2192;1308;145;1028;2557;2088;2109;2803;177
99;8696;1566;2176;1262;317;1195;2301;1798;1465;2080;235
100;7090;2440;1924;1427;842;1172;1903;1968;2009;1597;282
101;6005;3152;1363;1547;987;1237;1411;1789;2319;2291;327
102;5009;3168;930;1455;1322;1245;1506;1812;2549;2947;376
103;5716;3384;994;1308;978;1344;1828;2024;3005;3283;449
104;6295;3506;921;1215;707;1362;2008;1648;2934;3376;549
105;6993;3499;847;856;625;1408;2273;1968;2942;3600;583
106;7554;3459;1041;203;1024;1504;2926;1149;3195;3960;642
107;7853;3649;783;129;1250;1452;3059;537;3241;4040;809
108;6902;3696;773;92;1422;1529;3125;198;3353;4205;855
109;7319;3606;856;74;1630;1541;3494;104;3287;4619;885
110;6703;3658;829;55;1884;1636;3835;66;3446;4565;996
111;6250;3425;755;55;1929;1711;4100;19;3416;4672;1029
112;6975;3157;847;28;2165;1755;4167;19;3291;4501;1075
113;7174;2223;645;110;1993;1621;3968;141;2975;3944;1045
114;7572;496;1192;138;2509;1611;4044;66;1682;3189;1099
115;7889;188;1529;405;2545;1425;3409;113;1319;2627;968
116;8333;154;850;672;2645;704;3277;104;305;1381;793
117;9212;489;589;847;1649;94;1733;47;493;365;613
118;11150;870;396;516;643;118;549;28;1031;530;427
119;11848;1068;212;313;344;139;199;9;1643;1269;374
120;11313;1920;129;83;299;148;171;0;1973;1737;291
121;10127;2261;110;92;281;238;360;38;1559;1631;232
122;9040;2521;101;175;353;290;464;122;1528;1547;246
123;8632;2032;166;258;417;323;777;47;2019;1464;226
124;8351;1755;276;147;471;690;1278;132;2707;2057;225
125;7944;2840;230;313;716;476;1307;160;2837;2901;268
126;7355;3188;433;552;851;566;1761;329;3308;3315;322
127;7500;3722;525;663;1594;636;1828;490;3582;3984;420
128;7717;3835;433;654;1875;771;1818;632;3743;3981;442
129;7980;3717;571;829;1920;832;1250;537;4083;4019;494
130;8089;3782;396;442;1911;830;1108;292;4172;4293;596
131;8759;3737;580;193;2183;1076;1477;122;4349;4800;644
132;8795;3692;645;166;2237;1142;2055;104;4532;4885;661
133;8813;3971;442;92;2482;1286;2500;104;4565;5019;761
134;9955;3862;534;166;2717;1344;2822;75;4646;5013;739
135;11721;4059;626;46;3016;1550;3277;132;4502;5211;805
136;13261;3926;589;18;3007;915;3475;198;3682;5483;776
137;12572;2249;637;74;3043;611;3561;188;2979;4400;740
138;11350;1463;1372;92;1413;898;3636;386;2283;2845;589
139;10208;1343;948;110;1694;937;1383;634;1955;2251;563
140;9657;1127;829;295;1793;907;455;575;1481;1895;467
141;8822;916;1602;645;1359;824;208;650;1384;1348;405
142;8859;782;1750;672;625;692;104;575;1348;1129;362
143;9529;847;856;856;308;559;28;173;1431;1169;323
144;10607;1027;460;681;82;488;237;179;1421;1273;223
145;11567;880;378;488;54;504;237;170;1679;1235;195
146;11522;843;175;405;45;417;360;189;2269;1444;202
147;11649;765;212;479;18;479;369;150;2943;2160;198
148;11957;716;331;359;145;436;426;59;3218;2941;203
149;12029;2000;452;497;208;537;521;28;3751;3240;233
150;12319;3272;525;433;507;605;568;118;4057;3259;250
151;12464;3755;654;562;788;718;947;113;4506;4349;334
152;13143;4306;820;534;1350;799;1117;183;4674;4960;405
153;13822;4700;672;258;1332;1045;1629;235;4870;5872;526
154;14556;4911;866;193;1658;1154;2055;75;5041;6789;588
155;17237;5332;902;110;2011;1427;2519;66;5268;6869;616
156;18351;5403;884;92;2554;1532;2765;66;5125;7387;658
157;18469;5293;654;157;2482;1581;3144;122;4933;7301;679
158;17074;2368;1004;101;2917;1723;4006;132;5281;6491;733
159;16748;3734;1308;83;3315;1615;4006;666;5102;5723;748
160;16286;4847;2541;212;3007;1697;4621;1252;5142;6160;796
161;15725;5620;2790;285;3270;1848;4508;1817;5267;6656;739
162;15181;6733;3112;414;3342;1817;4422;2684;5223;7013;668
163;14366;7916;2901;433;3161;1728;4640;2900;4996;7397;528
164;15127;8259;3241;626;3542;1824;4820;3013;5166;8208;528
165;17038;9012;2311;534;3596;2001;5133;3390;5212;8869;498
166;18216;8351;2689;608;3361;2104;5625;3842;5606;9504;540
167;16812;7361;2882;718;3406;2045;5625;4548;3554;8683;583
168;13922;5708;3149;700;3071;1915;6449;5045;3471;6859;511
169;13170;5582;2956;930;1703;2085;6705;4559;5083;6128;480
170;11911;2727;3214;1114;2672;2295;5701;5235;5013;5493;579
171;11848;1912;3453;1372;3587;2402;5208;4592;5079;5664;721
172;10344;4004;3912;1464;4230;2573;5246;5021;5190;5845;816
173;10045;4873;2937;1648;4629;2854;4744;4715;5312;5765;911
174;9946;5180;1740;2007;4674;2988;4924;4591;5745;6000;946
175;10036;5192;912;2505;4665;3031;4981;3522;5767;6427;1034
176;10752;5180;967;2357;4647;3183;5559;1817;5886;6763;1107
177;10996;5219;939;2449;3877;3308;5559;1111;5990;6565;1244
178;10571;5270;930;1188;3560;3425;5881;819;5819;6789;1283
179;9855;5237;829;497;3288;3436;6392;810;5941;7013;1352
180;10371;5217;958;267;3822;3445;6383;960;5813;7157;1402
181;10199;4724;1004;147;3822;3532;6733;753;5419;7136;1420
182;9864;1933;875;92;4058;3449;6884;753;4309;6832;1610
183;10000;3273;1252;157;4339;3402;7008;1784;4276;5317;1585
184;8850;3972;1971;184;4393;3444;7140;3220;4440;5397;1577
185;9176;4878;2238;239;5208;3411;6828;3823;4525;5867;1579
186;9330;5555;2413;599;4728;3348;7008;3776;4741;6549;1493
187;9801;6416;2293;718;4991;3324;6752;3992;4885;6736;1399
188;12310;6934;2413;875;4792;3179;6297;3644;5233;7125;1246
189;15435;7558;2459;884;4728;3051;6752;3663;5173;8048;1065
190;18940;8123;2320;884;4538;3010;7131;3653;5147;8960;880
191;20861;7484;2256;994;4574;2909;6951;3335;5039;8981;758
